Quarter,Region,State,Business,Holiday,Other,Visiting,Tendencia,Serie sin Tendencia,Mes,Estacionalidad,Componente Residual,,
01/04/2011,Lakes,Victoria,5.2699872,102.2419319,3.3628512,39.8492531,111.2208675,102.2419319,4,,-111.2208675,,
01/07/2011,Lakes,Victoria,9.4570243,52.5081609,12.3052084,14.0065152,109.8754955,52.5081609,7,,-109.8754955,,
01/10/2011,Lakes,Victoria,7.1085134,105.5413468,3.498836,19.704629,110.4752836,105.5413468,10,,-110.4752836,,
01/01/2012,Lakes,Victoria,17.5323052,102.7328657,2.0895751,50.5882529,105.0992414,102.7328657,1,,-105.0992414,,
01/04/2012,Lakes,Victoria,9.7347641,72.7371911,1.619033,45.7279108,100.2822814,72.7371911,4,,-100.2822814,,
01/07/2012,Lakes,Victoria,17.0386624,53.1819852,4.2237158,41.724007,98.40774934,53.1819852,7,,-98.40774934,,
01/10/2012,Lakes,Victoria,14.3948403,117.2508149,5.1899057,43.35102,99.31359628,117.2508149,10,,-99.31359628,,
01/01/2013,Lakes,Victoria,12.2039214,189.3601048,1.0016669,41.2602726,99.44430016,189.3601048,1,,-99.44430016,,
01/04/2013,Lakes,Victoria,7.4448377,99.5003714,1.5640712,24.3507316,99.1016051,99.5003714,4,,-99.1016051,,
01/07/2013,Lakes,Victoria,13.0992358,48.0198841,5.52783,45.6929155,98.5405705,48.0198841,7,,-98.5405705,,
01/10/2013,Lakes,Victoria,15.7799838,101.7181745,2.7063851,35.925288,98.06267396,101.7181745,10,,-98.06267396,,
01/01/2014,Lakes,Victoria,10.8604164,149.3215209,4.9219557,51.2993423,103.8862559,149.3215209,1,,-103.8862559,,
01/04/2014,Lakes,Victoria,20.6938635,104.3730417,7.0655241,27.2216781,107.8407372,104.3730417,4,,-107.8407372,,
01/07/2014,Lakes,Victoria,10.5485088,50.1557136,20.4236495,32.0510277,107.4624532,50.1557136,7,,-107.4624532,,
01/10/2014,Lakes,Victoria,16.3422113,87.4183365,2.0359279,21.2462019,103.7333934,87.4183365,10,,-103.7333934,,
01/01/2015,Lakes,Victoria,2.6715154,138.6641915,7.7728891,35.7638744,97.39640428,138.6641915,1,,-97.39640428,,
01/04/2015,Lakes,Victoria,21.8765657,119.7419537,3.0643462,27.0246298,99.92660206,119.7419537,4,,-99.92660206,,
01/07/2015,Lakes,Victoria,24.9450725,61.7552847,27.7683397,43.7953413,101.6435271,61.7552847,7,,-101.6435271,,
01/10/2015,Lakes,Victoria,10.1436352,86.4737426,0,17.6353722,99.73797315,86.4737426,10,,-99.73797315,,
01/01/2016,Lakes,Victoria,19.686171,171.7671317,15.816873,45.9243434,102.5436745,171.7671317,1,,-102.5436745,,
01/04/2016,Lakes,Victoria,12.54526,90.8534168,6.273449,29.1687761,100.8537214,90.8534168,4,,-100.8537214,,
01/07/2016,Lakes,Victoria,15.1515514,59.2383033,1.7543918,16.699308,,59.2383033,7,,0,,
01/10/2016,Lakes,Victoria,16.3815646,111.1502773,14.8180598,37.8241754,,111.1502773,10,,0,,
01/01/2017,Lakes,Victoria,19.7766611,179.6857356,13.3423997,34.9836714,,179.6857356,1,,0,,
01/04/2017,Lakes,Victoria,11.3158779,93.0408619,0,91.0467322,,93.0408619,4,,0,,
01/07/2017,Lakes,Victoria,20.6978502,59.449394,6.592708,31.4759822,,59.449394,7,,0,,
01/10/2017,Lakes,Victoria,8.5912786,145.7470507,8.6875576,26.5496169,,145.7470507,10,,0,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
